DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200514277,09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,2255,5,Harbor,558,2,901,VIOLATION OF RESTRAINING ORDER,1813 2000 2038,46,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901.0,,,,200 W  AMAR                         ST,,33.7478,-118.2822
200506268,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1900,5,Harbor,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440.0,624.0,,,PACIFIC COAST,VERMONT,33.7926,-118.3043
201014375,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2330,10,West Valley,1025,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1420,0,M,W,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740.0,,,,6800    RESEDA                       BL,,34.1939,-118.536
200117110,08/28/2020 12:00:00 AM,05/01/2020 12:00:00 AM,100,1,Central,154,1,121,"RAPE, FORCIBLE",0537 0527 1814 0522 0516 2000 1206 2001 0913,22,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,,,,500 S  MAIN                         ST,,34.0465,-118.2488
200714035,09/20/2020 12:00:00 AM,09/01/2020 12:00:00 AM,1,7,Wilshire,715,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300 0385,70,F,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,400 N  ALTA VISTA                   BL,,34.0783,-118.3474
201007153,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,640,10,West Valley,1001,2,888,TRESPASSING,1822 2004,45,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,888.0,,,,19500    INGOMAR                      ST,,34.212,-118.5579
200311518,05/18/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1900,3,Southwest,373,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329 1612 1202,65,M,B,101.0,STREET,,,IC,Invest Cont,520.0,,,,3900    HUBERT                       AV,,34.0142,-118.3281
201212066,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1235,12,77th Street,1252,2,437,RESISTING ARREST,1309,0,X,X,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,437.0,,,,FLORENCE                     AV,VAN NESS                     AV,33.9746,-118.3177
200312493,06/10/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1500,3,Southwest,374,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,3800    3RD                          AV,,34.0183,-118.3204
201309446,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,1730,13,Newton,1324,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",2004 0329 1402,30,M,H,101.0,STREET,,,AA,Adult Arrest,410.0,998.0,,,CENTRAL                      AV,20TH                         ST,34.0233,-118.2516
200906435,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1800,9,Van Nuys,914,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1912,34,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,14900    SHERMAN                      WY,,34.2012,-118.4574
200517895,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,2125,5,Harbor,526,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0443 0913,40,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,900 N  FRIES                        AV,,33.7815,-118.265
201012706,09/03/2020 12:00:00 AM,07/27/2020 12:00:00 AM,700,10,West Valley,1008,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,46,M,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,845.0,,,,8100 N  BALBOA                       PL,,34.2179,-118.5014
201111473,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,1134,11,Northeast,1117,2,661,UNAUTHORIZED COMPUTER ACCESS,1904 1914 1822 1911,40,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,661.0,,,,4600    ELLENWOOD                    DR,,34.1293,-118.219
200609150,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900,6,Hollywood,648,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,26,F,O,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,1500 N  SAINT ANDREWS                PL,,34.0981,-118.3114
201215770,07/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,700,12,77th Street,1204,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0552 1258,7,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,237.0,812.0,,,1400 W  45TH                         ST,,34.0028,-118.3007
200321686,12/13/2020 12:00:00 AM,12/13/2020 12:00:00 AM,2125,3,Southwest,341,1,761,BRANDISH WEAPON,2004 1822 1402 0334 0421,53,M,H,301.0,GAS STATION,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,761.0,930.0,,,COLISEUM,LA BREA                      BL,34.0183,-118.3556
200815069,10/09/2020 12:00:00 AM,10/09/2020 12:00:00 AM,1400,8,West LA,819,1,320,"BURGLARY, ATTEMPTED",1202 1607 1822,68,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320.0,,,,200    WOODRUFF                     AV,,34.0768,-118.4352
200913781,08/21/2020 12:00:00 AM,08/20/2020 12:00:00 AM,503,9,Van Nuys,923,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402 1407 0913,0,X,X,101.0,STREET,107.0,OTHER FIREARM,AO,Adult Other,753.0,998.0,,,14600    KITTRIDGE                    ST,,34.1907,-118.4509
201211062,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900,12,77th Street,1258,2,623,BATTERY POLICE (SIMPLE),1212 0417 1822,0,X,X,726.0,POLICE FACILITY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,7600 S  BROADWAY,,33.9708,-118.2783
200208642,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,1,2,Rampart,217,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,522.0,,,,1700    CLINTON                      ST,,34.0721,-118.262
201013217,09/18/2020 12:00:00 AM,09/12/2020 12:00:00 AM,1,10,West Valley,1017,1,820,ORAL COPULATION,0400 0913 0443 0512 0413,30,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,820.0,,,,17100    COVELLO                      ST,,34.2075,-118.5068
200215572,09/27/2020 12:00:00 AM,07/27/2020 12:00:00 AM,1600,2,Rampart,248,2,850,INDECENT EXPOSURE,0603 0361 0529 1822,42,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,850.0,,,,300    COLUMBIA                     AV,,34.0572,-118.2658
201111404,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1630,11,Northeast,1162,1,450,THEFT FROM PERSON - ATTEMPT,0355,14,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,450.0,,,,1100 N  VERMONT                      AV,,34.0909,-118.2917
200507119,03/12/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1,5,Harbor,567,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0416 1258 0553 0913,10,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627.0,,,,1700 S  PACIFIC                      AV,,33.7288,-118.288
200322296,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,1900,3,Southwest,397,2,625,OTHER ASSAULT,0416 0446 1277 1309 1822,58,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625.0,,,,4000 S  NORMANDIE                    AV,,34.0103,-118.3002
201307077,02/24/2020 12:00:00 AM,02/14/2020 12:00:00 AM,40,13,Newton,1371,2,886,DISTURBING THE PEACE,1259 1251 0416,15,F,H,253.0,MORTUARY,,,IC,Invest Cont,886.0,,,,5700 S  BROADWAY,,33.9906,-118.2783
200407521,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,1240,4,Hollenbeck,473,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1243 1814 0416 0334,21,F,H,504.0,OTHER RESIDENCE,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,236.0,,,,500 S  SAINT LOUIS                  ST,,34.0405,-118.2165
200611438,06/15/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1300,6,Hollywood,667,2,755,BOMB SCARE,0344 0443 0404 0913,0,X,X,203.0,OTHER BUSINESS,511.0,VERBAL THREAT,IC,Invest Cont,755.0,,,,5800 W  SUNSET                       BL,,34.0981,-118.3158
200315958,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,12,3,Southwest,373,2,890,FAILURE TO YIELD,1309 1501 0202 1822,19,X,X,101.0,STREET,,,IC,Invest Cont,890.0,,,,MARTIN LUTHER KING JR        BL,CRENSHAW                     BL,34.0109,-118.3351
201222549,10/13/2020 12:00:00 AM,10/13/2020 12:00:00 AM,1620,12,77th Street,1249,2,903,CONTEMPT OF COURT,0913 2038 1312 1814,39,F,H,101.0,STREET,,,AO,Adult Other,903.0,,,,600 W  GAGE                         AV,,33.9824,-118.2844
200707946,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,1450,7,Wilshire,782,1,220,ATTEMPTED ROBBERY,0358 0302,17,M,H,101.0,STREET,113.0,SIMULATED GUN,JA,Juv Arrest,220.0,,,,6000    COMEY                        AV,,34.0339,-118.3747
200116884,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,2245,1,Central,124,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1501 0400 1212 1822,0,M,H,726.0,POLICE FACILITY,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231.0,,,,100 W  1ST                          ST,,34.0522,-118.2434
200911420,06/22/2020 12:00:00 AM,04/03/2020 12:00:00 AM,1,9,Van Nuys,916,2,649,DOCUMENT FORGERY / STOLEN FELONY,0360 0100,56,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,13800    SHERMAN                      WY,,34.2012,-118.4335
200210888,06/02/2020 12:00:00 AM,05/28/2020 12:00:00 AM,900,2,Rampart,248,2,664,"BUNCO, PETTY THEFT",1822 0800 0701 1900,28,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,664.0,,,,400    WITMER                       ST,,34.0576,-118.2644
200517191,11/28/2020 12:00:00 AM,11/28/2020 12:00:00 AM,1500,5,Harbor,511,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0503 0515 0556 0522 0913,34,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815.0,,,,1600    256TH                        ST,,33.7915,-118.3043
200312028,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,125,3,Southwest,312,1,251,SHOTS FIRED AT INHABITED DWELLING,0329 1202 1822,60,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,251.0,,,,2900 S  REDONDO                      BL,,34.0271,-118.3585
201213261,05/16/2020 12:00:00 AM,05/16/2020 12:00:00 AM,1800,12,77th Street,1205,2,922,CHILD STEALING,0913,41,M,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,922.0,,,,4800 S  BUDLONG                      AV,,33.9992,-118.2959
200616577,10/12/2020 12:00:00 AM,10/12/2020 12:00:00 AM,115,6,Hollywood,643,2,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",0325 0601 0104 1822,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,951.0,,,,7100 W  SUNSET                       BL,,34.1007,-118.3494
201224191,11/09/2020 12:00:00 AM,11/09/2020 12:00:00 AM,1730,12,77th Street,1259,2,920,KIDNAPPING - GRAND ATTEMPT,1257 1822,4,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,920.0,,,,300 E  76TH                         PL,,33.9705,-118.2696
200300900,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,615,3,Southwest,399,1,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1822 1100 0329 1310 1309 0334 0302 0430 1407 0202,32,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,250.0,,,,VERNON                       AV,FIGUEROA                     ST,34.0038,-118.2827
200604022,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,6,Hollywood,679,1,350,"THEFT, PERSON",0344,52,M,H,101.0,STREET,,,IC,Invest Cont,350.0,,,,WESTERN,ROMAINE,34.0886,-118.3027
201016369,12/25/2020 12:00:00 AM,12/24/2020 12:00:00 AM,2200,10,West Valley,1001,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,,0,X,X,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,235.0,,,,19000    INGOMAR                      ST,,34.212,-118.5475
200310293,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1000,3,Southwest,319,2,940,EXTORTION,0202 0209 0422 1912 1916,22,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,940.0,,,,1900    ESTRELLA                     AV,,34.0339,-118.2755
201309901,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,2300,13,Newton,1351,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1258,4,F,H,503.0,HOTEL,,,IC,Invest Cont,237.0,,,,100 W  MARTIN LUTHER KING JR        BL,,34.0111,-118.274
200515571,10/20/2020 12:00:00 AM,10/19/2020 12:00:00 AM,1445,5,Harbor,521,1,470,TILL TAP - GRAND THEFT ($950.01 & OVER),0315 0344 1236 0325 0352 1221 0104 0202 0380,0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,470.0,,,,2100 N  GAFFEY                       ST,,33.7639,-118.2934
201227304,12/29/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1,12,77th Street,1266,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1259 1215 0527 1822 0526,15,F,B,217.0,AUTO REPAIR SHOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,810.0,812.0,,,8200 S  FIGUEROA                     ST,,33.9644,-118.2827
200805392,01/31/2020 12:00:00 AM,01/25/2020 12:00:00 AM,1600,8,West LA,852,2,860,BATTERY WITH SEXUAL CONTACT,1822 0522 0551,26,F,A,404.0,DEPARTMENT STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860.0,,,,11800    SANTA MONICA                 BL,,34.0427,-118.4585
201221724,10/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,2200,12,77th Street,1266,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0943 1259,15,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,822.0,,,,82ND,FIGUEROA                     ST,33.9643,-118.2827
200514941,10/06/2020 12:00:00 AM,04/01/2020 12:00:00 AM,2019,5,Harbor,531,2,813,CHILD ANNOYING (17YRS & UNDER),0913 0510 0522 0556 1259,13,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,813.0,,,,1600    ANAHEIM                      ST,,33.7854,-118.3042
200214156,08/22/2020 12:00:00 AM,08/22/2020 12:00:00 AM,1700,2,Rampart,233,2,651,DOCUMENT WORTHLESS ($200.01 & OVER),0100 0923 0601 0913 1817,0,X,X,229.0,CHECK CASHING*,,,IC,Invest Cont,651.0,,,,200 S  RAMPART                      BL,,34.0681,-118.2777
200214735,09/06/2020 12:00:00 AM,09/06/2020 12:00:00 AM,1,2,Rampart,249,1,122,"RAPE, ATTEMPTED",1309 0537 1259 2004 1206 1415 1409 0522 0342 1822,16,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,122.0,998.0,,,4TH                          ST,LUCAS                        ST,34.0574,-118.2621
200113405,06/14/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1200,1,Central,158,2,434,FALSE IMPRISONMENT,0451 1218 1501 0432 1814 0913 0410,50,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,434.0,,,,600 S  CENTRAL                      AV,,34.0381,-118.2401
201211301,04/20/2020 12:00:00 AM,04/06/2020 12:00:00 AM,1800,12,77th Street,1242,2,647,THROWING OBJECT AT MOVING VEHICLE,1310 1309 1822 0447 0342 1312 0340 0329,28,F,B,101.0,STREET,212.0,BOTTLE,IC,Invest Cont,647.0,,,,SOUTHWEST                    DR,VAN NESS                     AV,33.9829,-118.3177
200320277,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,1330,3,Southwest,338,2,762,LEWD CONDUCT,1822 1309 0528 0529,22,F,W,101.0,STREET,,,IC,Invest Cont,762.0,,,,2900 S  HOOVER                       ST,,34.0268,-118.2896
200609610,04/27/2020 12:00:00 AM,04/27/2020 12:00:00 AM,2100,6,Hollywood,622,2,932,PEEPING TOM,1219,40,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,932.0,,,,7100    HILLSIDE                     AV,,34.1053,-118.3454
201111890,07/27/2020 12:00:00 AM,07/25/2020 12:00:00 AM,2013,11,Northeast,1138,2,910,KIDNAPPING,0418 1300 0423 0438,0,X,X,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,910.0,,,,YORK                         BL,MESA                         AV,34.1177,-118.1872
200100785,05/16/2020 12:00:00 AM,05/15/2020 12:00:00 AM,1945,1,Central,142,1,110,CRIMINAL HOMICIDE,1218 1402 2004 0411 1822,57,M,H,138.0,STAIRWELL*,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110.0,,,,300 S  OLIVE                        ST,,34.0523,-118.2502
201208548,03/05/2020 12:00:00 AM,03/05/2020 12:00:00 AM,1730,12,77th Street,1205,2,763,STALKING,0347 2004 0360,73,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,763.0,,,,1400 W  49TH                         ST,,33.9992,-118.3002
200508121,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,1220,5,Harbor,589,1,441,THEFT PLAIN - ATTEMPT,1300 1309 1822,24,M,B,108.0,PARKING LOT,,,IC,Invest Cont,441.0,,,,2800    VIA CABRILLO MARINA,,33.7192,-118.2839
201209314,03/17/2020 12:00:00 AM,03/17/2020 12:00:00 AM,120,12,77th Street,1249,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1822 0519 0377 0507 0344 1309 0526 0448 0432 0319,20,F,B,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,821.0,,,,600 W  66TH                         ST,,33.9795,-118.2838
200400922,07/19/2020 12:00:00 AM,07/18/2020 12:00:00 AM,2035,4,Hollenbeck,417,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,1402 2038 0913 0554,42,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,902.0,998.0,,,3800    LINCOLN HIGH                 CT,,34.0748,-118.1994
